,plankton0 x-position,plankton0 y-position,plankton4 x-position,plankton4 y-position,plankton6 x-position,plankton6 y-position,plankton7 x-position,plankton7 y-position,plankton9 x-position,plankton9 y-position,plankton12 x-position,plankton12 y-position,plankton16 x-position,plankton16 y-position,plankton18 x-position,plankton18 y-position,plankton21 x-position,plankton21 y-position
0,129.37142857142857,438.2857142857143,254.65,342.4,313.9375,490.15625,331.3181818181818,542.0454545454545,359.24,315.98,,,,,,,,
1,118.5,441.0,270.1904761904762,359.95238095238096,300.57575757575756,499.1212121212121,337.59574468085106,559.4255319148937,365.73333333333335,307.06666666666666,202.76315789473685,94.63157894736842,,,,,,
2,111.17241379310344,445.17241379310343,274.0,355.5,302.3142857142857,518.0857142857143,355.1,577.55,372.34375,299.0625,200.57692307692307,112.1923076923077,,,,,,
3,106.03846153846153,446.9230769230769,280.4736842105263,342.63157894736844,306.5,532.5,379.8,589.5,379.75,291.125,194.95454545454547,116.5,195.5,473.5,314.5357142857143,200.35714285714286,,
4,103.0,444.125,281.875,337.0,306.1578947368421,537.2631578947369,392.57142857142856,594.3809523809524,383.8695652173913,286.1304347826087,190.0,112.0,200.61904761904762,476.0952380952381,327.03846153846155,210.69230769230768,,
5,100.8,440.32,283.05263157894734,330.7894736842105,306.3333333333333,541.3333333333334,406.84615384615387,598.0,388.3076923076923,280.96153846153845,,,207.375,477.15625,339.38461538461536,221.3846153846154,,
6,97.0,432.1714285714286,,,299.05882352941177,544.0588235294117,433.3333333333333,600.125,,,,,222.89655172413794,474.82758620689657,361.75,243.5,55.94117647058823,323.5882352941176
7,92.13888888888889,425.3888888888889,,,293.8333333333333,551.7333333333333,460.88,600.48,,,,,241.54285714285714,466.0857142857143,383.125,266.0,73.21951219512195,337.3170731707317
8,87.5,425.625,,,288.7368421052632,552.4736842105264,475.57142857142856,600.7142857142857,393.09090909090907,277.3636363636364,,,249.0,460.5,,,76.21428571428571,342.7857142857143
9,83.85714285714286,426.5,,,283.6666666666667,549.4444444444445,488.3125,600.125,402.75,289.05,,,255.96666666666667,452.9,,,76.1923076923077,347.3076923076923
